,Company,url,Category,Sub_Category,industry,financials_arr_max,financials_arr_min,financials_revenue_2016,financials_revenue_2017,financials_num_customers_max,financials_num_customers_min
0,CleverTap,clevertap.com,Advertising & Promotion,Mobile Marketing,Business Intelligence,7200000.0,4800000.0,1500000,4800000.0,200.0,200.0
1,iZooto,izooto.com,Advertising & Promotion,Mobile Marketing,Marketing Automation,1176000.0,1176000.0,192000,1176000.0,400.0,400.0
2,Mobilewalla,mobilewalla.com,Advertising & Promotion,Mobile Marketing,Marketing Automation,3000000.0,3000000.0,4000000,3000000.0,9.0,9.0
3,MobStac,mobstac.com,Advertising & Promotion,Mobile Marketing,Marketing Automation,300000.0,300000.0,220000,300000.0,0.0,100.0
4,Privy,privy.com,Advertising & Promotion,Mobile Marketing,Marketing Automation,3100000.0,3100000.0,3096000,3096000.0,5000.0,5000.0
5,Teckst,teckst.com,Advertising & Promotion,Mobile Marketing,Sales Automation,1440000.0,1440000.0,1440000,0.0,65.0,65.0
6,Texting Base,textingbase.com,Advertising & Promotion,Mobile Marketing,Marketing Automation,300000.0,300000.0,300000,300000.0,500.0,500.0
7,Funnel,funnel.io,Advertising & Promotion,Display & Programmatic Advertising,Technical Solutions,2160000.0,2160000.0,720000,2160000.0,340.0,340.0
8,Jelli,jelli.com,Advertising & Promotion,Display & Programmatic Advertising,Marketing Automation,30000000.0,0.0,6000000,12000000.0,2300.0,2300.0
9,Sortable,sortable.com,Advertising & Promotion,Display & Programmatic Advertising,Marketing Automation,0.0,3000000.0,3000000,3000000.0,300.0,300.0
10,AdEspresso,adespresso.com,Advertising & Promotion,Search & Social Advertising,Marketing Automation,1800000.0,1800000.0,1800000,0.0,1000.0,1000.0
11,Adthena,adthena.com,Advertising & Promotion,Search & Social Advertising,Business Intelligence,7500000.0,7500000.0,7500000,7500000.0,200.0,200.0
12,SocialFlow,socialflow.com,Advertising & Promotion,Search & Social Advertising,Marketing Automation,10000000.0,10000000.0,9999996,9999996.0,200.0,200.0
13,Real Content Network,realcontentnetwork.com,Advertising & Promotion,Native/Content Advertising,Marketing Automation,1080000.0,1080000.0,300000,1080000.0,150.0,150.0
14,pr.co,pr.co,Advertising & Promotion,PR,Public Relations,344400.0,344400.0,180000,344400.0,287.0,287.0
15,Prezly,prezly.com,Advertising & Promotion,PR,Marketing Automation,2000000.0,1600000.0,850000,1440000.0,1000.0,300.0
16,TrendKite,trendkite.com,Advertising & Promotion,PR,Public Relations,0.0,10000000.0,9996000,9996000.0,10000.0,1000.0
17,Alpha Software,alphasoftware.com,Content & Experience,Mobile Apps,Team Communication,10000000.0,5000000.0,4992000,4992000.0,3000.0,3000.0
18,Apptimize,apptimize.com,Content & Experience,Mobile Apps,Marketing Automation,6000000.0,6000000.0,2600000,6000000.0,1000.0,100.0
19,Buildfire,buildfire.com,Content & Experience,Mobile Apps,Team Communication,4800000.0,4800000.0,2400000,2400000.0,5000.0,1000.0
20,SauceLabs,saucelabs.com,Content & Experience,Mobile Apps,Technical Solutions,30000000.0,30000000.0,28000000,30000000.0,3500.0,3500.0
21,Vidyard,vidyard.com,Content & Experience,Video Marketing,Marketing Automation,0.0,9600000.0,9600000,0.0,0.0,0.0
22,Conveyour,conveyour.com,Content & Experience,Interactive Content,Sales Automation,840000.0,840000.0,840000,840000.0,100.0,100.0
23,Formstack,formstack.com,Content & Experience,Interactive Content,Business Intelligence,13440000.0,11520000.0,11520000,11520000.0,16000.0,16000.0
24,Interact,tryinteract.com,Content & Experience,Interactive Content,Marketing Automation,576000.0,0.0,280000,576000.0,800.0,800.0
25,Jebbit,jebbit.com,Content & Experience,Interactive Content,Sales Automation,4800000.0,4800000.0,2000000,5000000.0,0.0,50.0
26,Jotform,jotform.com,Content & Experience,Interactive Content,Team Communication,0.0,54000000.0,34800000,54000000.0,0.0,180000.0
27,Kickoff Labs,kickofflabs.com,Content & Experience,Interactive Content,Marketing Automation,900000.0,900000.0,900000,0.0,1000.0,1000.0
28,Riddle,riddle.com,Content & Experience,Interactive Content,Marketing Automation,420000.0,420000.0,420000,420000.0,700.0,700.0
29,Turtl,turtl.co,Content & Experience,Interactive Content,Marketing Automation,1500000.0,1500000.0,600000,1500000.0,50.0,50.0
30,Typeform,typeform.com,Content & Experience,Interactive Content,Misc,19000000.0,19000000.0,19200000,19200000.0,40000.0,40000.0
31,Wishpond,wishpond.com,Content & Experience,Interactive Content,Marketing Automation,10000000.0,6000000.0,5000000,6000000.0,2500.0,2500.0
32,Zembula,zembula.com,Content & Experience,Interactive Content,Marketing Automation,4800000.0,2520000.0,360000,2520000.0,110.0,110.0
33,AWeber,aweber.com,Content & Experience,Email Marketing,Marketing Automation,27360000.0,27360000.0,27360000,0.0,120000.0,120000.0
34,Delivra,delivra.com,Content & Experience,Email Marketing,Marketing Automation,5000004.0,5000004.0,5000004,0.0,500.0,500.0
35,ExpressPigeon,expresspigeon.com,Content & Experience,Email Marketing,Marketing Automation,1000000.0,500000.0,400000,528000.0,800.0,200.0
36,Mad Mimi,madmimi.com,Content & Experience,Email Marketing,Marketing Automation,0.0,0.0,0,0.0,0.0,0.0
37,Moosend,moosend.com,Content & Experience,Email Marketing,Marketing Automation,1680000.0,1680000.0,720000,1680000.0,700.0,700.0
38,MovableInk,movableink.com,Content & Experience,Email Marketing,Marketing Automation,40000000.0,40000000.0,39999996,39999996.0,500.0,500.0
39,Notablist,notablist.com,Content & Experience,Email Marketing,Business Intelligence,150000.0,150000.0,1,150000.0,20.0,20.0
40,Outbound,outbound.io,Content & Experience,Email Marketing,Marketing Automation,1200000.0,360000.0,360000,360000.0,0.0,100.0
41,Seventh Sense,theseventhsense.com,Content & Experience,Email Marketing,Marketing Automation,360000.0,360000.0,120000,360000.0,136.0,136.0
42,Siftrock,siftrock.com,Content & Experience,Email Marketing,Marketing Automation,1000000.0,1000000.0,100000,996000.0,140.0,140.0
43,Vero,getvero.com,Content & Experience,Email Marketing,Marketing Automation,2400000.0,1800000.0,1000000,1800000.0,300.0,250.0
44,AutomatedInsights,automatedinsights.com,Content & Experience,Content Marketing,Technical Solutions,0.0,7200000.0,7200000,7200000.0,0.0,300.0
45,ClearVoice,clearvoice.com,Content & Experience,Content Marketing,Marketing Automation,3000000.0,3000000.0,1500000,3060000.0,150.0,150.0
46,ContentLaunch,contentlaunch.com,Content & Experience,Content Marketing,Marketing Automation,48000.0,36000.0,36000,36000.0,15.0,15.0
47,Contently,contently.com,Content & Experience,Content Marketing,Marketing Automation,20000000.0,20000000.0,19200000,19200000.0,200.0,200.0
48,Contentools,contentools.com,Content & Experience,Content Marketing,Marketing Automation,840000.0,840000.0,840000,840000.0,700.0,700.0
49,Fabl,fabl.co,Content & Experience,Content Marketing,Marketing Automation,0.0,3000000.0,600000,3000000.0,0.0,50.0
50,Issuu,issuu.com,Content & Experience,Content Marketing,Marketing Automation,42000000.0,0.0,42000000,0.0,100000.0,100000.0
51,MarketMuse,marketmuse.com,Content & Experience,Content Marketing,Marketing Automation,4800000.0,4200000.0,420000,4200000.0,0.0,100.0
52,Percolate,percolate.com,Content & Experience,Content Marketing,Marketing Automation,40000000.0,40000000.0,39999996,39999996.0,200.0,200.0
53,Revue,getrevue.co,Content & Experience,Content Marketing,Marketing Automation,84000.0,84000.0,60000,84000.0,1000.0,1000.0
54,ScoopIt,scoop.it,Content & Experience,Content Marketing,Marketing Automation,3570000.0,2500000.0,2496000,2496000.0,250.0,250.0
55,Skyword,skyword.com,Content & Experience,Content Marketing,Marketing Automation,20000000.0,20000000.0,19200000,19200000.0,150.0,150.0
56,Smartling,smartling.com,Content & Experience,Content Marketing,Misc,0.0,10000000.0,9999996,9999996.0,500.0,0.0
57,Upcontent,upcontent.com,Content & Experience,Content Marketing,Sales Automation,108000.0,108000.0,108000,108000.0,250.0,250.0
58,Videoblocks,videoblocks.com,Content & Experience,Content Marketing,Marketing Automation,26000000.0,20000000.0,20000004,0.0,150000.0,150000.0
59,Visme,visme.co,Content & Experience,Content Marketing,Team Communication,2400000.0,1200000.0,600000,1200000.0,10000.0,10000.0
60,Wochit,wochit.com,Content & Experience,Content Marketing,Marketing Automation,30000000.0,10000000.0,5000000,9996000.0,0.0,200.0
61,WriterAccess,writeraccess.com,Content & Experience,Content Marketing,Misc,1200000.0,0.0,1200000,1200000.0,1000.0,0.0
62,BloomReach,bloomreach.com,Content & Experience,"Optimization, Personalization & Testing",Marketing Automation,100000000.0,62500000.0,62400000,62400000.0,250.0,250.0
63,Bouncex,bouncex.com,Content & Experience,"Optimization, Personalization & Testing",Marketing Automation,24000000.0,18000000.0,18000000,18000000.0,250.0,250.0
64,CaliberMind,calibermind.com,Content & Experience,"Optimization, Personalization & Testing",Sales Automation,432000.0,432000.0,432000,432000.0,12.0,12.0
65,Concentric,concentricmarket.com,Content & Experience,"Optimization, Personalization & Testing",Business Intelligence,1440000.0,1440000.0,600000,1440000.0,135.0,135.0
66,Demandbase,demandbase.com,Content & Experience,"Optimization, Personalization & Testing",Sales Automation,108000000.0,90000000.0,76800000,100000000.0,600.0,400.0
67,FunnelEnvy,funnelenvy.com,Content & Experience,"Optimization, Personalization & Testing",Marketing Automation,672000.0,210000.0,60000,210000.0,7.0,7.0
68,Instapage,instapage.com,Content & Experience,"Optimization, Personalization & Testing",Marketing Automation,20000000.0,10000000.0,5000000,19200000.0,16000.0,16000.0
