2019rank,name,url,linkedin,city,state,country,phone,interview,growth,leadinvestor,july2018employees,feb2019employees,6monthincrease
1,Pitchbook,Pitchbook.com,https://www.linkedin.com/company/pitchbook-data-inc-,Seattle,WA,,,,,Morningstar,15,594,3860.00%
2,Repsly,repsly.com,http://www.linkedin.com/company/salespod,Boston,MA,,617.459.9012,,http://www.total-croatia-news.com/business/19070-croatian-startup-repsly-expecting-5-million-dollars-in-revenue-in-2017,LaunchPad,2,67,3250.00%
3,1Password,1password.com,https://www.linkedin.com/company/summit-web-design-au,,,,,,,,2,59,2850.00%
4,Magnitude Software,magnitude.com,https://www.linkedin.com/company/magnitude,Austin,TX,,,,,,12,250,1983.33%
5,MailerLite,mailerlite.com,https://www.linkedin.com/company/marketpro-biz,Vilnius,LT,,,,,,2,40,1900.00%
6,BlueHornet,bluehornet.com,https://www.linkedin.com/company/bluehornet,San Diego,CA,,,,,,22,395,1695.45%
7,Drift,drift.com,https://www.linkedin.com/company-beta/6636997/,Boston,MA,,855-266-1567,,,,23,294,1178.26%
8,ownCloud,owncloud.org,https://www.linkedin.com/company/owncloud/,Nuremberg,,,888-2595-888,,,General Catalyst,6,51,750.00%
9,iContact,icontact.com,http://www.linkedin.com/company/icontact,Morrisville,NC,,,,,,30,205,583.33%
10,Xinet,xinet.com,https://www.linkedin.com/company-beta/5293063/,Monterrey,,,510.845.0555,,,,9,57,533.33%
11,AvidXchange,avidxchange.com,http://www.linkedin.com/company/avidxchange-inc.,Charlotte,NC,,704-971-8160,,,Bain/Charlotte,178,922,417.98%
12,SendinBlue,sendinblue.com,https://www.linkedin.com/company/sendinblue,Paris,FRA,,,,,,32,162,406.25%
13,HelloSign,hellosign.com,http://www.linkedin.com/company/hellofax,San Francisco,CA,,415-766-0273,,,,35,117,234.29%
14,Sendoso,sendoso.com,https://www.linkedin.com/company/sendoso,San Francisco,CA,,,,,,31,98,216.13%
15,Framer Studio,framer.com,https://www.linkedin.com/company/framer,Amsterdam,NET,,,,,,44,129,193.18%
16,MeisterTask,meistertask.com,https://www.linkedin.com/company/meisterlabs-gmbh,Wilmington,DE,,415-633-6050,,,,40,113,182.50%
17,pimcore,pimcore.org,https://www.linkedin.com/company/pimcore,Salzburg,,,43 662 876606230,,,,18,47,161.11%
18,Mindmatrix,mindmatrix.net,http://www.linkedin.com/company/mindmatrix-inc,Pittsburgh,PA,,412-381-0230,,,,26,66,153.85%
19,SimpleLegal,simplelegal.com,http://www.linkedin.com/company/simplelegal,,,,,,,Y Combinator,25,61,144.00%
20,Slice Intelligence,intelligence.slice.com,https://www.linkedin.com/company/slice-intelligence,Palo Alto,CA,,206-390-6637,,,,35,84,140.00%
21,Highspot,highspot.com,http://www.linkedin.com/company/highspot,Seattle,WA,,,,http://www.redherring.com/finance/highspot-closes-9-6m-series-round/,Shasta/Madrona,68,158,132.35%
22,Gather,gatherhere.com,http://www.linkedin.com/company/gather-technologies,Atlanta,CA,,,,,,89,197,121.35%
23,Adverity,adverity.com,https://www.linkedin.com/company/adverity-gmbh,Vienna,AUS,AUS,,,,25,33,72,118.18%
24,GoAnimate,goanimate.com,http://www.linkedin.com/company/goanimate,San Mateo,CA,,,,,,27,58,114.81%
25,Humanity,humanity.com,http://www.linkedin.com/company/humanity-inc,San Francisco,CA,,415.578.7848,,,,150,300,100.00%
26,Lessonly,lessonly.com,https://www.linkedin.com/company/lesson-ly,Indianapolis,IN,,317.469.9194,,,OpenView/Allos,66,128,93.94%
27,Workboard,workboard.com,http://www.linkedin.com/company/workboard-inc-,Redwood City,CA,,650.464.3677,,,,25,48,92.00%
28,Clearbit,clearbit.com,http://www.linkedin.com/company/clearbit,San Francisco,CO,,555-555-5555,https://www.saastr.com/saastr-podcast-084-alex-maccaw-founder-ceo-clearbit-on-why-the-future-of-sales-is-personalization/,,,36,68,88.89%
29,Amplitude Analytics,amplitude.com,https://www.linkedin.com/company/amplitude-analytics/,San Francisco,CA,USA,510-927-1100,,,Benchmark,174,321,84.48%
30,Outreach.io,outreach.io,https://www.linkedin.com/company/outreach-saas/,Seattle,WA,,888-938-7356,,,,291,523,79.73%
31,MarketMuse,MarketMuse.com,https://www.linkedin.com/company/marketmuse,Boston,MA,,,,,,25,46,84.00%
32,Funnel.io,funnel.io,https://www.linkedin.com/company/funnel-io,Cambridge,MA,,888-457-4595,,,,51,92,80.39%
33,AppZen,appzen.com,https://www.linkedin.com/company/appzen/,Santa Clara,CA,USA,408-647-5253,,,Redpoint,65,115,76.92%
34,TravelPerk,travelperk.com,https://www.linkedin.com/company/travelperk/,Barcelona,SPA,SPA,34 932 20 91 22,,,Spark/LocalGlobe,104,183,75.96%
35,15Five,15five.com,http://www.linkedin.com/company/15five,San Francisco,CA,,415.967.3483,https://www.saastr.com/saastr-podcast-085-david-hassell-founder-ceo-15five-on-how-saas-startup-founders-should-view-competition/,,,42,74,76.19%
36,Cosential,Cosential.com,https://www.linkedin.com/company/cosential-inc-,Austin,TX,,,,,,50,88,76.00%
37,LaunchDarkly,LaunchDarkly.com,https://www.linkedin.com/company/launchdarkly,Oaklan,CA,USA,,https://www.saastr.com/saastr-podcast-122-edith-harbaugh-founder-ceo-launchdarkly-on-how-to-successfully-scale-the-1-10-customer-phase-of-any-saas-business/,,,55,95,72.73%
38,Seismic,seismic.com,http://www.linkedin.com/company/seismic-software,San Diego,CA,,858.481.8746,,,GA/Jackson Square,335,560,67.16%
39,Dataquest,dataquest.io,https://www.linkedin.com/company/dataquest-io,San Francisco,CA,,,,,,25,43,72.00%
40,Keen IO,keen.io,http://www.linkedin.com/company/keen-io,San Francisco,CA,,,,,,59,99,67.80%
41,Postman,getpostman.com,https://www.linkedin.com/company/postman-api-tools-,San Francisco,CA,,,,,,70,116,65.71%
42,Doodle,doodle.com,https://www.linkedin.com/company/doodle-ag,Zurich,SUI,,415.841.9521,,,,37,61,64.86%
43,Gong.io,gong.io,https://www.linkedin.com/company/gong-io/,Palo Alto,CA,,,,https://techcrunch.com/2017/07/12/gong-an-ai-based-language-tool-to-help-sales-and-customer-service-reps-nabs-20m/,,79,128,62.03%
44,Easy Projects,easyprojects.net,http://www.linkedin.com/company/logic-software-inc-,Toronto,ON,,888.261.9878,,,,25,40,60.00%
45,Databricks,databricks.com,http://www.linkedin.com/company/databricks,San Francisco,CA,,866-330-0121,,,NEA/Andressen,421,650,54.39%
